data;imieniny
1;Zbigniewa, Grażyny	
2;Franciszka, Władysława	
3;Ryszarda, Pankracego	
4;Wacława, Izydora	
5;Ireny, Wincentego	
6;Celestyna, Wilhelma	
7;Donata, Rufina
8;Dionizego, Januarego	
9;Marii, Marcelego	
10;Michała, Makarego	
11;Leona, Filipa	
12;Juliusza, Wiktora	
13;Przemysława, Hermenegildy	
14;Justyny, Waleriana
15;Anastazji, Bazylego	
16;Julii, Benedykta	
17;Roberta, Patrycego	
18;Bogusławy, Bogumiły	
19;Adolfa, Tymona	
20;Czesława, Agnieszki	
21;Feliksa, Anzelma
22;Leona, Łukasza	
23;Jerzego, Wojciecha	
24;Grzegorza, Aleksandra	
25;Marka, Jarosława	
26;Marii, Marcelego	
27;Zyty, Teofila	
28;Pawła, Walerii
29;Piotra, Pawła	
30;Mariana, Katarzyny
